ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
372143200,2025-03-03T12:19:16.718000,2025-03-03T13:54:39.744000,buy,0.02,0.02,USDJPYm,151.256,150.95,150.95,,0,0,-4.05,,,sl
371206138,2025-02-27T15:02:30.721000,2025-03-03T11:53:03.218000,sell,0.01,0.01,AUDJPYm,93.545,94.046,94.046,,0,0,-3.32,,,sl
371205710,2025-02-27T15:02:07.784000,2025-02-28T07:42:28.030000,sell,0.01,0.01,USDJPYm,149.592,150.29,150.29,,0,0,-4.64,,,sl
371205381,2025-02-27T15:01:50.340000,2025-02-28T07:42:16.820000,sell,0.01,0.01,USDJPYm,149.562,150.2,150.2,,0,0,-4.25,,,sl
370229786,2025-02-25T14:11:37.105000,2025-02-27T03:12:07.601000,sell,0.01,0.01,USDJPYm,149.404,149.321,150.109,,0,0,0.56,,,user
370229595,2025-02-25T14:11:13.852000,2025-02-27T03:12:07.590000,sell,0.01,0.01,EURJPYm,156.793,156.383,157.318,,0,0,2.75,,,user
370229185,2025-02-25T14:10:00.959000,2025-02-27T03:12:07.590000,sell,0.01,0.01,AUDJPYm,94.768,94.13,95.283,,0,0,4.27,,,user
370813970,2025-02-26T18:23:31.137000,2025-02-27T02:50:21.278000,buy,0.01,0.01,XAUUSDm,2915.993,2908.441,2908.441,,0,0,-7.55,,,sl
369993301,2025-02-25T03:39:39.386000,2025-02-25T05:13:30.654000,sell,0.01,0.01,XAUUSDm,2942.893,2939.283,2950.561,,0,0,3.61,,,user
368658292,2025-02-20T01:05:05.488000,2025-02-20T19:15:37.546000,sell,0.01,0.01,EURJPYm,157.391,157.138,157.881,,0,0,1.69,,,user
368475383,2025-02-19T14:34:44.633000,2025-02-20T19:15:35.178000,sell,0.01,0.01,AUDJPYm,96.198,95.819,96.73,,0,0,2.53,,,user
368476156,2025-02-19T14:35:48.389000,2025-02-20T19:15:32.320000,sell,0.02,0.02,USDJPYm,151.589,149.712,150.521,,0,0,25.07,,,user
366955728,2025-02-14T09:13:51.997000,2025-02-17T00:39:48.809000,buy,0.01,0.01,AUDJPYm,96.879,96.549,96.549,,0,0,-2.17,,,sl
365610792,2025-02-11T08:10:36.614000,2025-02-12T05:02:17.306000,buy,0.01,0.01,AUDJPYm,95.539,96.654,95.003,,0,0,7.26,,,user
364047078,2025-02-06T10:18:36.482000,2025-02-06T14:42:33.766000,buy,0.01,0.01,USOILm,71.397,71,71,,0,0,-3.97,,,sl
363243727,2025-02-04T14:32:34.245000,2025-02-05T05:25:53.155000,sell,0.01,0.01,USDJPYm,155.072,153.53300000000002,154.65,,0,0,10.02,,,user
362663815,2025-02-03T10:36:34.153000,2025-02-03T22:49:41.175000,sell,0.01,0.01,USDJPYm,154.898,154.84,155.513,,0,0,0.37,,,user
361366373,2025-01-30T05:04:35.524000,2025-02-02T22:27:41.051000,sell,0.01,0.01,USDJPYm,154.521,155.249,155.249,,0,0,-4.69,,,sl
361366294,2025-01-30T05:04:09,2025-01-31T16:33:09.211000,sell,0.01,0.01,AUDJPYm,96.182,96.712,96.712,,0,0,-3.42,,,sl
361701739,2025-01-30T21:03:17.767000,2025-01-31T09:16:51.857000,buy,0.01,0.01,USOILm,72.794,72.394,72.394,,0,0,-4,,,sl
360726346,2025-01-28T14:03:07.146000,2025-01-28T14:43:00.590000,buy,0.01,0.01,USOILm,73.672,73.213,73.213,,0,0,-4.59,,,sl
360388520,2025-01-27T16:34:31.147000,2025-01-27T19:25:30.311000,sell,0.01,0.01,AUDJPYm,96.796,97.127,97.127,,0,0,-2.14,,,sl
360128515,2025-01-27T08:04:48.891000,2025-01-27T11:37:03.925000,sell,0.01,0.01,AUDJPYm,97.79,97.065,98.33,,0,0,4.71,,,user
360128399,2025-01-27T08:04:37.256000,2025-01-27T11:04:17.813000,sell,0.01,0.01,USDJPYm,155.732,154.011,156.344,,0,0,11.17,,,user
359289613,2025-01-23T13:02:53.628000,2025-01-23T18:59:58.982000,sell,0.01,0.01,USDJPYm,156.287,156.004,156.901,,0,0,1.81,,,user
359342637,2025-01-23T14:41:02.895000,2025-01-23T16:13:20.090000,buy,0.01,0.01,USOILm,75.723,75.24,75.24,,0,0,-4.83,,,sl
358955497,2025-01-22T14:13:22.476000,2025-01-22T15:55:44.786000,sell,0.01,0.01,EURJPYm,162.446,162.966,162.966,,0,0,-3.33,,,sl
356762864,2025-01-17T09:21:34.258000,2025-01-17T18:12:51.257000,buy,0.01,0.01,USDJPYm,155.792,156.202,155.183,,0,0,2.62,,,user
356785614,2025-01-17T10:14:12.793000,2025-01-17T14:05:03.195000,sell,0.01,0.01,USOILm,77.935,77.45100000000001,78.4,,0,0,4.84,,,user
355905330,2025-01-15T07:11:24.135000,2025-01-16T14:07:41.582000,sell,0.01,0.01,AUDJPYm,97.342,96.851,98.1,,0,0,3.15,,,user
355194426,2025-01-13T10:03:43.107000,2025-01-13T16:17:41.955000,sell,0.01,0.01,USDJPYm,157.029,157.646,157.646,,0,0,-3.91,,,sl
354144109,2025-01-09T04:07:09.791000,2025-01-13T06:12:09.739000,sell,0.01,0.01,AUDJPYm,97.824,96.681,96.777,,0,0,7.26,,,user
